,Pmult_ChP5-3,Pmult_strain4,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_FT5,Pmult_BR3,Pmult_BNB-2015,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Psch_BM,Pprim_CyL4-1,Ppent_Nr1-10,Pbi_FGC3,Ptetr_Lab,Pnov_UV1-3,Pjen_FT3,Psp_FT8,Pgerm_GO1,Plyn_PO16-1,Plyn_SP-1,Plyn_SD11-9,Plyn_ShKm41,Plyn_HSG3-10,Pcaud_VL10-1,Pcaud_K5-2,Pcaud_OR4-4,Pnephr_BMS16-23,Pwood_BB-5,Pcalk_CyL1-24,Ppol_TBS3,Pchlor_Kon,Pputr_ETu-7,Pbuet_N06,Pdub_Ku4-8,Pbur_OK1,Pbur_YD-2010-3
Pmult_ChP5-3,0.0,0.0005907384,0.0005883059,0.0029562499,0.0017723775,0.0089101931,0.0083958214,0.0086565203,0.014368679399999999,0.015044005400000001,0.0149809119,0.014721161200000001,0.0301780983,0.031927888,0.031927888,0.032065627799999996,0.0345151629,0.0314637149,0.0345214348,0.0509554446,0.052342701900000004,0.0498172385,0.0498172385,0.0508418154,0.056775519,0.0618028701,0.0617905486,0.0615139143,0.0615139143,0.0590229662,0.0621310909,0.0707392939,0.0773814855,0.0636624687,0.0759774352,0.0695879027,0.0695165947,0.0898567169,0.0914166121
Pmult_strain4,0.0005907384,0.0,0.0011829288,0.0029632574,0.0017765754999999998,0.0095556691,0.0090066887,0.0095392351,0.0150489986,0.015665181599999998,0.015665181599999998,0.015353946399999999,0.0308326838,0.032723374300000004,0.032723374300000004,0.032723374300000004,0.0353280987,0.0321210123,0.0353345421,0.051878402000000004,0.0530490417,0.0507358801,0.0507358801,0.051552111,0.0555834169,0.061377920499999995,0.0625146043,0.0625146043,0.0625146043,0.06001046769999999,0.06317820730000001,0.0718161146,0.0781450135,0.0646790124,0.0770848493,0.0703361282,0.0702571488,0.0910822133,0.09265423769999999
Pmult_SK6-3,0.0005883059,0.0011829288,0.0,0.0035518570000000003,0.0023660718,0.0095158916,0.0090066887,0.0095392351,0.0149858633,0.015665181599999998,0.0155994025,0.015353946399999999,0.0308326838,0.0325826366,0.0325826366,0.032723374300000004,0.035175591299999996,0.0321210123,0.0351819814,0.050262658700000004,0.0530490417,0.050511941399999996,0.050511941399999996,0.051552111,0.0574869162,0.06252700950000001,0.0625146043,0.0622343829,0.0622343829,0.0589708662,0.0613811567,0.0714872605,0.0781450135,0.0643881114,0.0752248113,0.0703361282,0.0702571488,0.0898567169,0.0914166121
Pmult_ThK-16,0.0029562499,0.0029632574,0.0035518570000000003,0.0,0.00117816,0.0095490047,0.0071907999,0.0069174203,0.017471718600000002,0.0175080871,0.018090599199999998,0.015960636599999998,0.032749567599999994,0.0326990992,0.0326990992,0.0321210123,0.0353017104,0.0340437789,0.035308144300000004,0.051838095199999996,0.051025224699999996,0.050696420199999995,0.050696420199999995,0.0495146413,0.0563218551,0.0613287283,0.0625700316,0.0631338241,0.0631338241,0.0613011167,0.06452221309999999,0.0724444991,0.0796059702,0.0659723509,0.07840095700000001,0.0695879027,0.0709995755,0.09100307740000001,0.0925734309
Pmult_OmN-1,0.0017723775,0.0017765754999999998,0.0023660718,0.00117816,0.0,0.0107509757,0.0083958214,0.0086565203,0.0162540841,0.016287891699999998,0.0168713871,0.014721161200000001,0.031488897200000004,0.033959751499999996,0.033959751499999996,0.0333827564,0.0365691879,0.0327799451,0.0365758387,0.0531447183,0.052342701900000004,0.0520051742,0.0520051742,0.0508418154,0.057647942599999995,0.06267013190000001,0.0632404852,0.0638036256,0.0638036256,0.0613011167,0.06452221309999999,0.0731327828,0.0789104878,0.0659723509,0.07840095700000001,0.0695879027,0.0709995755,0.0924377552,0.0940126032
Pmult_FT5,0.0089101931,0.0095556691,0.0095158916,0.0095490047,0.0107509757,0.0,0.0126718496,0.0157454983,0.023606593,0.024337045,0.024233867000000003,0.0241921475,0.0398574705,0.0390516176,0.0390516176,0.0392216654,0.0403441697,0.0411738777,0.0403514537,0.0570190317,0.059223541500000004,0.0573030582,0.0573030582,0.058492780599999995,0.0644139415,0.06955858150000001,0.0702237583,0.0699063187,0.0699063187,0.0680757472,0.0708241504,0.0779383767,0.08760911199999999,0.0713509813,0.0839131798,0.0767249811,0.0773354829,0.0967179271,0.09668197279999999
Pmult_BR3,0.0083958214,0.0090066887,0.0090066887,0.0071907999,0.0083958214,0.0126718496,0.0,0.0130856457,0.0226055683,0.0232378028,0.0232378028,0.0229846023,0.036871542400000006,0.036234526499999996,0.036234526499999996,0.036234526499999996,0.0375335538,0.0381874261,0.037540427700000004,0.054284266500000004,0.0559914989,0.0545572754,0.0545572754,0.055229700599999994,0.056631229299999995,0.0651860306,0.0672186714,0.0672186714,0.0672186714,0.0666106739,0.067866284,0.0779985973,0.0828725616,0.0713499907,0.0826274388,0.0747305937,0.0756554462,0.0964105582,0.0963743256
Pmult_BNB-2015,0.0086565203,0.0095392351,0.0095392351,0.0069174203,0.0086565203,0.0157454983,0.0130856457,0.0,0.028439774100000002,0.028439774100000002,0.028439774100000002,0.028439774100000002,0.0418128715,0.0408842015,0.0408842015,0.0418167346,0.0418376646,0.0436850164,0.042837193600000004,0.0615936611,0.07021097280000001,0.0659930654,0.0659930654,0.0659930654,0.0659930654,0.0659930654,0.0838307663,0.0838307663,0.0838307663,0.0745674688,0.0729218401,0.08829415480000001,0.0965451768,0.0814300618,0.0932604918,0.08886331289999999,0.0851354276,0.1018298698,0.10304020650000001
Pfok_US_Bl_16I1,0.014368679399999999,0.0150489986,0.0149858633,0.017471718600000002,0.0162540841,0.023606593,0.0226055683,0.028439774100000002,0.0,0.0017730114999999999,0.0017657073000000001,0.0,0.026988987000000002,0.0281335854,0.0281335854,0.0270047805,0.0306965608,0.0264033786,0.030060665099999998,0.0489923188,0.0564171241,0.053831759800000004,0.053831759800000004,0.054943632699999995,0.060866099900000005,0.0659521487,0.0652666459,0.0649733319,0.0649733319,0.0583581034,0.0600521251,0.0708791729,0.0798512562,0.0657633276,0.0736596051,0.0765455924,0.0683201176,0.0942459692,0.0958210727
Pfok_strain14,0.015044005400000001,0.015665181599999998,0.015665181599999998,0.0175080871,0.016287891699999998,0.024337045,0.0232378028,0.028439774100000002,0.0017730114999999999,0.0,0.0,0.0018082759,0.0257419644,0.0270047805,0.0270047805,0.0270047805,0.0295725073,0.0264033786,0.0289351964,0.048558204199999996,0.0564171241,0.054071124400000004,0.054071124400000004,0.054943632699999995,0.0589577307,0.0655170117,0.0639227577,0.0639227577,0.0639227577,0.059957219000000006,0.0617254793,0.0725831551,0.0784565406,0.064713441,0.0733118469,0.0751241043,0.0683201176,0.0932026192,0.09478075080000001
